,title,price,stars,sales,disc
48,"realme narzo 60 5G (Mars Orange,8GB+256GB) | 90Hz Super AMOLED Display | Ultra Premium Vegan Leather Design | with 33W SUPERVOOC Charger","18,499",4.0 out of 5 stars,"2,597",(12% off)
49,"realme narzo 60 5G (Mars Orange,8GB+256GB) | 90Hz Super AMOLED Display | Ultra Premium Vegan Leather Design | with 33W SUPERVOOC Charger","18,499",4.0 out of 5 stars,"2,597",(12% off)
50,"Samsung Galaxy M04 Light Green, 4GB RAM, 128GB Storage | Upto 8GB RAM with RAM Plus | MediaTek Helio P35 Octa-core Processor | 5000 mAh Battery | 13MP Dual Camera","7,499",3.9 out of 5 stars,"12,685",(44% off)
51,"Samsung Galaxy M04 Light Green, 4GB RAM, 128GB Storage | Upto 8GB RAM with RAM Plus | MediaTek Helio P35 Octa-core Processor | 5000 mAh Battery | 13MP Dual Camera","7,499",3.9 out of 5 stars,"12,685",(44% off)
52,"Xiaomi Redmi 10 Power (Power Black, 8GB RAM, 128GB Storage)","10,649",4.1 out of 5 stars,"3,723",(44% off)
53,"Xiaomi Redmi 10 Power (Power Black, 8GB RAM, 128GB Storage)","10,649",4.1 out of 5 stars,"3,723",(44% off)
54,"realme narzo N53 (Feather Black, 4GB+64GB) 33W Segment Fastest Charging | Slimmest Phone in Segment | 90 Hz Smooth Display","7,999",3.9 out of 5 stars,"7,982",(27% off)
55,"realme narzo N53 (Feather Black, 4GB+64GB) 33W Segment Fastest Charging | Slimmest Phone in Segment | 90 Hz Smooth Display","7,999",3.9 out of 5 stars,"7,982",(27% off)
56,"Samsung Galaxy M13 (Midnight Blue, 4GB, 64GB Storage) | 6000mAh Battery | Upto 8GB RAM with RAM Plus","9,199",4.1 out of 5 stars,"28,269",(39% off)
57,"Samsung Galaxy M13 (Midnight Blue, 4GB, 64GB Storage) | 6000mAh Battery | Upto 8GB RAM with RAM Plus","9,199",4.1 out of 5 stars,"28,269",(39% off)
58,Nokia G42 5G | Snapdragon® 480+ 5G | 50MP Triple AI Camera | 11GB RAM (6GB RAM + 5GB Virtual RAM) | 128GB Storage | 5000mAh Battery | 2 Years Android Upgrades | 20W Fast Charger Included | So Pink,"12,299",3.6 out of 5 stars,152,(25% off)
59,Nokia G42 5G | Snapdragon® 480+ 5G | 50MP Triple AI Camera | 11GB RAM (6GB RAM + 5GB Virtual RAM) | 128GB Storage | 5000mAh Battery | 2 Years Android Upgrades | 20W Fast Charger Included | So Pink,"12,299",3.6 out of 5 stars,152,(25% off)
60,"Samsung Galaxy M34 5G (Waterfall Blue,8GB,128GB)|120Hz sAMOLED Display|50MP Triple No Shake Cam|6000 mAh Battery|4 Gen OS Upgrade & 5 Year Security Update|16GB RAM with RAM+|Android 13|Without Charger","17,999",3.9 out of 5 stars,"4,667",
61,"Samsung Galaxy M34 5G (Waterfall Blue,8GB,128GB)|120Hz sAMOLED Display|50MP Triple No Shake Cam|6000 mAh Battery|4 Gen OS Upgrade & 5 Year Security Update|16GB RAM with RAM+|Android 13|Without Charger","17,999",3.9 out of 5 stars,"4,667",
62,Redmi 12 5G Jade Black 4GB RAM 128GB ROM,"11,999",3.7 out of 5 stars,"2,841",
